transaction_id,supplier_id,product_id,transaction_amount,delivery_time,ownership_frequency,fraud_label
TXN_00001,SUP_052,PROD_166,1126.77,4.1,4,0
TXN_00002,SUP_093,PROD_038,832.04,4.2,2,0
TXN_00003,SUP_015,PROD_181,1030.1,4.0,3,0
TXN_00004,SUP_072,PROD_349,887.56,7.7,2,0
TXN_00005,SUP_061,PROD_105,570.62,5.0,4,0
TXN_00006,SUP_021,PROD_100,1068.68,8.9,3,0
TXN_00007,SUP_083,PROD_090,1378.81,5.5,4,0
TXN_00008,SUP_087,PROD_415,1463.26,4.6,3,0
TXN_00009,SUP_075,PROD_300,1095.22,4.6,3,0
TXN_00010,SUP_075,PROD_444,5003.75,23.0,7,1
TXN_00011,SUP_088,PROD_332,214.2,5.4,1,0
TXN_00012,SUP_100,PROD_401,1818.2,4.8,3,0
TXN_00013,SUP_024,PROD_079,1429.29,3.8,3,0
TXN_00014,SUP_003,PROD_073,1227.74,4.9,3,0
TXN_00015,SUP_022,PROD_423,1021.6,4.0,1,0
TXN_00016,SUP_053,PROD_426,330.75,5.6,1,0
TXN_00017,SUP_002,PROD_176,1054.69,6.4,1,0
TXN_00018,SUP_088,PROD_396,1009.53,3.7,3,0
TXN_00019,SUP_030,PROD_096,577.22,4.1,3,0
TXN_00020,SUP_038,PROD_345,1134.45,3.2,4,0
TXN_00021,SUP_002,PROD_103,1370.98,7.3,2,0
TXN_00022,SUP_064,PROD_402,1102.17,1.5,2,0
TXN_00023,SUP_060,PROD_463,1101.19,3.7,1,0
TXN_00024,SUP_021,PROD_224,1120.45,6.4,1,0
TXN_00025,SUP_033,PROD_006,903.17,3.7,2,0
TXN_00026,SUP_076,PROD_122,1227.5,3.7,1,0
TXN_00027,SUP_058,PROD_236,1457.14,6.3,3,0
TXN_00028,SUP_022,PROD_427,1012.38,0.5,2,0
TXN_00029,SUP_089,PROD_116,773.39,5.1,3,0
TXN_00030,SUP_049,PROD_163,584.34,3.9,2,0
TXN_00031,SUP_091,PROD_226,1150.28,3.9,2,0
TXN_00032,SUP_059,PROD_230,1184.27,7.1,1,0
TXN_00033,SUP_042,PROD_182,1109.18,5.0,3,0
